[22:54:15] 28800 frames at 1920x1080
[22:54:15] tile 224px (resized to 224 for the model), stride 112, 153 tiles/frame
[22:54:15] production centre crop would sit at (848, 428)
[22:54:52]   100/28800 frames, 2.7 fps, ~175.2 min left
[22:55:28]   200/28800 frames, 2.7 fps, ~173.9 min left
[22:56:04]   300/28800 frames, 2.7 fps, ~173.2 min left
[22:56:41]   400/28800 frames, 2.7 fps, ~172.7 min left
[22:57:18]   500/28800 frames, 2.7 fps, ~172.4 min left
[22:57:54]   600/28800 frames, 2.7 fps, ~171.5 min left
[22:58:30]   700/28800 frames, 2.7 fps, ~170.5 min left
[22:59:06]   800/28800 frames, 2.8 fps, ~169.7 min left
[22:59:42]   900/28800 frames, 2.8 fps, ~169.0 min left
[23:00:18] 000999.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (0.999)
[23:00:18]   1000/28800 frames, 2.8 fps, ~168.3 min left
[23:00:18] 001000.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (0.999)
[23:00:19] 001001.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:00:19] 001002.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:00:20] 001003.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:00:20] 001004.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (0.999)
[23:00:20] 001005.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:00:21] 001006.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:00:21] 001007.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:00:22] 001008.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:00:22] 001009.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:00:23] 001010.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (0.997)
[23:00:23] 001011.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (0.999)
[23:00:23] 001012.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (0.999)
[23:00:24] 001013.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (0.999)
[23:00:24] 001014.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (0.999)
[23:00:25] 001015.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (0.999)
[23:00:25] 001016.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (0.999)
[23:00:25] 001017.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:00:26] 001018.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (0.999)
[23:00:55]   1100/28800 frames, 2.7 fps, ~168.1 min left
[23:01:32]   1200/28800 frames, 2.7 fps, ~167.4 min left
[23:02:08]   1300/28800 frames, 2.7 fps, ~166.7 min left
[23:02:45]   1400/28800 frames, 2.7 fps, ~166.3 min left
[23:03:22]   1500/28800 frames, 2.7 fps, ~165.9 min left
[23:04:00]   1600/28800 frames, 2.7 fps, ~165.8 min left
[23:04:38]   1700/28800 frames, 2.7 fps, ~165.7 min left
[23:05:16]   1800/28800 frames, 2.7 fps, ~165.2 min left
[23:05:53]   1900/28800 frames, 2.7 fps, ~164.7 min left
[23:05:53] 001900.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (0.999)
[23:05:54] 001901.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:05:54] 001902.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:05:55] 001903.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:05:55] 001904.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:05:55] 001905.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:05:56] 001906.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:05:56] 001907.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:05:57] 001908.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (0.999)
[23:05:57] 001909.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (0.999)
[23:05:58] 001910.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:05:58] 001911.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:05:58] 001912.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:05:59] 001913.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:05:59] 001914.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:06:00] 001915.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:06:00] 001916.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:06:00] 001917.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:06:01] 001918.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:06:30]   2000/28800 frames, 2.7 fps, ~164.3 min left
[23:07:07]   2100/28800 frames, 2.7 fps, ~163.6 min left
[23:07:44]   2200/28800 frames, 2.7 fps, ~163.1 min left
[23:08:21]   2300/28800 frames, 2.7 fps, ~162.4 min left
[23:08:57]   2400/28800 frames, 2.7 fps, ~161.8 min left
[23:09:34]   2500/28800 frames, 2.7 fps, ~161.2 min left
[23:10:10]   2600/28800 frames, 2.7 fps, ~160.5 min left
[23:10:46]   2700/28800 frames, 2.7 fps, ~159.7 min left
[23:11:22]   2800/28800 frames, 2.7 fps, ~159.0 min left
[23:11:58]   2900/28800 frames, 2.7 fps, ~158.2 min left
[23:12:34]   3000/28800 frames, 2.7 fps, ~157.5 min left
[23:13:09]   3100/28800 frames, 2.7 fps, ~156.8 min left
[23:13:45]   3200/28800 frames, 2.7 fps, ~156.0 min left
[23:14:21]   3300/28800 frames, 2.7 fps, ~155.3 min left
[23:14:57]   3400/28800 frames, 2.7 fps, ~154.7 min left
[23:15:33]   3500/28800 frames, 2.7 fps, ~154.0 min left
[23:16:10]   3600/28800 frames, 2.7 fps, ~153.4 min left
[23:16:47]   3700/28800 frames, 2.7 fps, ~152.9 min left
[23:17:24]   3800/28800 frames, 2.7 fps, ~152.3 min left
[23:18:00]   3900/28800 frames, 2.7 fps, ~151.7 min left
[23:18:37]   4000/28800 frames, 2.7 fps, ~151.1 min left
[23:19:13]   4100/28800 frames, 2.7 fps, ~150.5 min left
[23:19:33] 004153.jpg tile=(0,448) offset=(-848, 20) repair-heal (out) (0.962)
[23:19:43] 004180.jpg tile=(0,448) offset=(-848, 20) full black (out) (0.905)
[23:19:45] 004186.jpg tile=(0,448) offset=(-848, 20) repair-heal (out) (0.907)
[23:19:47] 004191.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:47] 004192.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:48] 004193.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:48] 004194.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:49] 004195.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:49] 004195.jpg tile=(0,448) offset=(-848, 20) repair-heal (out) (0.955)
[23:19:49] 004196.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:49] 004197.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:50] 004198.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:50] 004199.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:50]   4200/28800 frames, 2.7 fps, ~149.9 min left
[23:19:51] 004200.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:51] 004201.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (1.000)
[23:19:51] 004202.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (0.999)
[23:19:52] 004203.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (1.000)
[23:19:52] 004204.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (1.000)
[23:19:53] 004205.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (1.000)
[23:19:53] 004206.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (1.000)
[23:19:54] 004207.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (1.000)
[23:19:54] 004208.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (1.000)
[23:19:54] 004209.jpg tile=(896,448) offset=(48, 20) repair-heal (ante-frontier) (1.000)
[23:20:27]   4300/28800 frames, 2.7 fps, ~149.3 min left
[23:21:03]   4400/28800 frames, 2.7 fps, ~148.6 min left
[23:21:39]   4500/28800 frames, 2.7 fps, ~148.0 min left
[23:22:15]   4600/28800 frames, 2.7 fps, ~147.3 min left
[23:22:51]   4700/28800 frames, 2.7 fps, ~146.6 min left
[23:23:27]   4800/28800 frames, 2.7 fps, ~146.0 min left
[23:24:03]   4900/28800 frames, 2.7 fps, ~145.3 min left
[23:24:25] 004960.jpg tile=(896,448) offset=(48, 20) full black (out) (0.982)
[23:24:25] 004961.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.975)
[23:24:25] 004962.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.968)
[23:24:26] 004963.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.973)
[23:24:26] 004964.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.949)
[23:24:27] 004965.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.912)
[23:24:28] 004969.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.923)
[23:24:28] 004970.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.944)
[23:24:29] 004971.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.951)
[23:24:29] 004972.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.923)
[23:24:30] 004973.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.965)
[23:24:30] 004974.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.976)
[23:24:31] 004975.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.987)
[23:24:31] 004976.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.996)
[23:24:31] 004977.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.996)
[23:24:32] 004978.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.989)
[23:24:32] 004979.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:24:33] 004980.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.998)
[23:24:33] 004981.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (0.997)
[23:24:33] 004982.jpg tile=(784,336) offset=(-64, -92) repair-heal (great) (0.986)
[23:24:40]   5000/28800 frames, 2.7 fps, ~144.8 min left
[23:25:16]   5100/28800 frames, 2.7 fps, ~144.1 min left
[23:25:52]   5200/28800 frames, 2.7 fps, ~143.5 min left
[23:26:28]   5300/28800 frames, 2.7 fps, ~142.8 min left
[23:27:03]   5400/28800 frames, 2.7 fps, ~142.2 min left
[23:27:39]   5500/28800 frames, 2.7 fps, ~141.5 min left
[23:28:15]   5600/28800 frames, 2.7 fps, ~140.9 min left
[23:28:51]   5700/28800 frames, 2.7 fps, ~140.2 min left
[23:29:26]   5800/28800 frames, 2.7 fps, ~139.6 min left
[23:30:02]   5900/28800 frames, 2.7 fps, ~138.9 min left
[23:30:38]   6000/28800 frames, 2.7 fps, ~138.3 min left
[23:31:14]   6100/28800 frames, 2.7 fps, ~137.6 min left
[23:31:49]   6200/28800 frames, 2.8 fps, ~137.0 min left
[23:32:25]   6300/28800 frames, 2.8 fps, ~136.3 min left
[23:33:01]   6400/28800 frames, 2.8 fps, ~135.7 min left
[23:33:36]   6500/28800 frames, 2.8 fps, ~135.0 min left
[23:34:12]   6600/28800 frames, 2.8 fps, ~134.4 min left
[23:34:40] 006679.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.994)
[23:34:41] 006680.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.997)
[23:34:41] 006681.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.990)
[23:34:42] 006682.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.994)
[23:34:42] 006683.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.988)
[23:34:42] 006684.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.988)
[23:34:43] 006685.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.991)
[23:34:43] 006686.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.989)
